iter	Passed	Remaining
0	72	21768
1	90	13452
2	106	10550
3	122	9078
4	139	8215
5	156	7681
6	173	7257
7	189	6927
8	206	6677
9	223	6471
10	240	6313
11	257	6173
12	275	6088
13	292	5978
14	311	5918
15	327	5817
16	344	5731
17	360	5652
18	377	5581
19	394	5529
20	412	5482
21	430	5435
22	446	5379
23	462	5321
24	480	5287
25	496	5231
26	515	5210
27	531	5161
28	546	5109
29	562	5060
30	578	5018
31	595	4985
32	610	4940
33	628	4913
34	644	4882
35	659	4838
36	675	4798
37	690	4759
38	705	4723
39	722	4696
40	739	4670
41	755	4642
42	771	4609
43	789	4590
44	804	4557
45	819	4524
46	835	4499
47	851	4468
48	866	4436
49	881	4409
50	899	4389
51	915	4366
52	932	4346
53	949	4327
54	966	4303
55	983	4284
56	998	4257
57	1013	4229
58	1029	4206
59	1045	4183
60	1060	4155
61	1076	4130
62	1090	4103
63	1108	4086
64	1124	4066
65	1139	4039
66	1154	4013
67	1169	3990
68	1185	3968
69	1200	3946
70	1217	3927
71	1234	3910
72	1251	3892
73	1268	3872
74	1284	3853
75	1301	3836
76	1317	3816
77	1334	3799
78	1352	3783
79	1371	3770
80	1389	3755
81	1406	3738
82	1423	3722
83	1440	3705
84	1457	3685
85	1473	3666
86	1491	3650
87	1506	3630
88	1522	3610
89	1539	3591
90	1556	3574
91	1572	3555
92	1590	3539
93	1608	3525
94	1628	3513
95	1645	3496
96	1662	3478
97	1678	3459
98	1694	3440
99	1710	3421
100	1725	3400
101	1742	3382
102	1759	3365
103	1775	3347
104	1791	3327
105	1810	3314
106	1827	3296
107	1843	3276
108	1860	3260
109	1878	3244
110	1898	3233
111	1919	3221
112	1942	3214
113	1963	3204
114	1984	3192
115	2006	3182
116	2031	3177
117	2054	3169
118	2073	3153
119	2092	3138
120	2110	3122
121	2127	3104
122	2144	3086
123	2162	3068
124	2180	3052
125	2196	3033
126	2214	3017
127	2231	2998
128	2252	2985
129	2269	2967
130	2286	2949
131	2303	2931
132	2321	2914
133	2338	2897
134	2354	2877
135	2370	2858
136	2386	2839
137	2403	2821
138	2419	2802
139	2435	2783
140	2451	2764
141	2467	2745
142	2483	2726
143	2500	2709
144	2516	2689
145	2534	2673
146	2550	2654
147	2568	2638
148	2585	2620
149	2602	2602
150	2621	2586
151	2637	2568
152	2654	2550
153	2672	2533
154	2690	2517
155	2707	2499
156	2725	2482
157	2742	2464
158	2760	2448
159	2778	2431
160	2795	2413
161	2814	2397
162	2832	2380
163	2850	2363
164	2867	2346
165	2885	2328
166	2902	2311
167	2922	2296
168	2940	2279
169	2958	2262
170	2975	2245
171	2993	2227
172	3010	2210
173	3028	2192
174	3046	2176
175	3064	2159
176	3082	2142
177	3101	2125
178	3118	2107
179	3135	2090
180	3151	2072
181	3168	2054
182	3185	2036
183	3203	2019
184	3221	2002
185	3238	1984
186	3254	1966
187	3271	1949
188	3290	1932
189	3307	1914
190	3325	1897
191	3343	1880
192	3361	1863
193	3379	1846
194	3398	1829
195	3417	1813
196	3435	1796
197	3452	1778
198	3469	1760
199	3487	1743
200	3504	1726
201	3521	1708
202	3538	1690
203	3555	1673
204	3571	1655
205	3588	1637
206	3605	1619
207	3622	1602
208	3641	1585
209	3657	1567
210	3673	1549
211	3690	1531
212	3706	1513
213	3721	1495
214	3738	1478
215	3755	1460
216	3772	1442
217	3786	1424
218	3803	1406
219	3819	1388
220	3837	1371
221	3855	1354
222	3870	1336
223	3885	1318
224	3900	1300
225	3916	1282
226	3933	1264
227	3951	1247
228	3968	1230
229	3987	1213
230	4004	1196
231	4021	1178
232	4038	1161
233	4054	1143
234	4070	1125
235	4087	1108
236	4105	1091
237	4120	1073
238	4135	1055
239	4153	1038
240	4169	1020
241	4186	1003
242	4203	986
243	4221	968
244	4238	951
245	4255	934
246	4271	916
247	4288	899
248	4303	881
249	4320	864
250	4336	846
251	4351	828
252	4366	811
253	4382	793
254	4399	776
255	4414	758
256	4430	741
257	4447	724
258	4464	706
259	4482	689
260	4498	672
261	4515	654
262	4532	637
263	4548	620
264	4564	602
265	4582	585
266	4601	568
267	4617	551
268	4635	534
269	4650	516
270	4668	499
271	4686	482
272	4701	464
273	4718	447
274	4733	430
275	4749	413
276	4765	395
277	4782	378
278	4799	361
279	4817	344
280	4832	326
281	4850	309
282	4868	292
283	4883	275
284	4898	257
285	4915	240
286	4931	223
287	4947	206
288	4963	188
289	4979	171
290	4996	154
291	5011	137
292	5028	120
293	5045	102
294	5061	85
295	5076	68
296	5091	51
297	5106	34
298	5123	17
299	5138	0
